engine,voice,category,item,targets,target_count,text,audio_path
rhvoice,,graph_abbrev,1,г.; ул.; д.,3,"Клепиковский район, г. Спас-Клепики, ул. Московская, д. 23",audio/rhvoice/graph_abbrev/01.wav
rhvoice,,graph_abbrev,2,ст.; №,2,"В соответствии со ст. 7 ФЗ № 115-ФЗ от 07.08.2001 ""О противодействии легализации (отмыванию) доходов""",audio/rhvoice/graph_abbrev/02.wav
rhvoice,,graph_abbrev,3,М.; млн.; долл.,3,"Кроме того, по слухам, М. Ходорковский обещал выделить 10 млн. долл. на выборные нужды союза СПС и ""Яблока"".",audio/rhvoice/graph_abbrev/03.wav
rhvoice,,graph_abbrev,4,т. е.,1,"Вот он описывает Йер: ""Городок, окружённый, т. е. с трех сторон (четвёртая - море) тремя цепями гор.",audio/rhvoice/graph_abbrev/04.wav
rhvoice,,graph_abbrev,5,т. д.; т. п.,2,"К нелепым, но шумным показательным процессам и т. д. и т. п.",audio/rhvoice/graph_abbrev/05.wav
rhvoice,,graph_abbrev,6,см.; стр.,2,"Он то утверждает, что у них там всё хорошо, а через неделю говорит, что всё совсем плохо (см. таблицу на стр. 23).",audio/rhvoice/graph_abbrev/06.wav
rhvoice,,graph_abbrev,7,и. о.; и. о.,2,В 2000-м и. о. президента Путин назначает Беспалова и. о. представителя президента в Санкт-Петербурге.,audio/rhvoice/graph_abbrev/07.wav
rhvoice,,graph_abbrev,8,гг.,1,В 1994-1995 гг. начался массированный накат на мэра Петербурга Анатолия Собчака.,audio/rhvoice/graph_abbrev/08.wav
rhvoice,,graph_abbrev,9,км,1,Он был первым в спринтерской гонке на 10 км в немецком местечке Оберхоф.,audio/rhvoice/graph_abbrev/09.wav
rhvoice,,graph_abbrev,10,им.,1,"Открывали фестиваль три спектакля, поставленные Андреем Гончаровым в Театре им. Маяковского.",audio/rhvoice/graph_abbrev/10.wav
rhvoice,,initial_abbrev,1,США,1,"Ожидается, что к 2012 г. сумма денежных переводов в указанный регион превысит 70 млрд. долларов США.",audio/rhvoice/initial_abbrev/01.wav
rhvoice,,initial_abbrev,2,МГИМО; США,2,Он выступил перед студентами и преподавателями МГИМО с лекцией о состоянии и перспективах развития отношений между Россией и США в области энергетики.,audio/rhvoice/initial_abbrev/02.wav
rhvoice,,initial_abbrev,3,БД; ЛВС,2,Ротационная БД в ЛВС типа «звезда».,audio/rhvoice/initial_abbrev/03.wav
rhvoice,,initial_abbrev,4,НПО,1,"С 1971 по 1977 гг. работал инженером НПО ""Вектор"".",audio/rhvoice/initial_abbrev/04.wav
rhvoice,,initial_abbrev,5,СБИС; БМК; НПО,3,"В качестве полузаказных СБИС на основе БМК возьмём серию К 1574, производимую на НПО ""Интеграл"".",audio/rhvoice/initial_abbrev/05.wav
rhvoice,,initial_abbrev,6,КПРФ,1,Так что не надо замазывать влияние КПРФ.,audio/rhvoice/initial_abbrev/06.wav
rhvoice,,initial_abbrev,7,ЮКОСа; А.; М.,3,"Такую сверхзадачу поставили перед собой в прямом радиоэфире ""Эха Москвы"" один из собственников ЮКОСа Василий Шахновский и ""политкорректно"" пособлявшие ему на разные лады, обозреватели А. Венедиктов и М. Ганопольский.",audio/rhvoice/initial_abbrev/07.wav
rhvoice,,initial_abbrev,8,МВД; Ф.,2,"В мае 1933 года министр МВД, правая рука Ф. Рузвельта, неукротимый Гарольд Икес доложил президенту о ""сплошной деморализации"" нефтяной промышленности.",audio/rhvoice/initial_abbrev/08.wav
rhvoice,,initial_abbrev,9,ЖК; РСФСР,2,"Действительно, согласно ч. 2 ст. 89 ЖК РСФСР в случае выезда нанимателя и членов его семьи на другое постоянное место жительства договор найма считается расторгнутым со дня выезда.",audio/rhvoice/initial_abbrev/09.wav
rhvoice,,initial_abbrev,10,BMW,1,"Так, например, при аренде BMW 5-й серии на счёте замораживается около $ 5 тыс.",audio/rhvoice/initial_abbrev/10.wav
rhvoice,,numbers,1,08.04.1980; 23; 232-23-23,3,"Дата рождения - 08.04.1980 г. (23 года), женат. Тел. 232-23-23.",audio/rhvoice/numbers/01.wav
rhvoice,,numbers,2,26521000; 13450000; 5 млн.; 3977368,4,"Из оставшихся 26521000 человек 13450000 составляют депутаты и госслужащие, 5 млн. - военные, 3977368 - нелегальные эмигранты.",audio/rhvoice/numbers/02.wav
rhvoice,,numbers,3,5 млн. 800 тысячам; 2002; 6 млн.,3,"В результате к 5 млн. 800 тысячам рублей, запланированным на 2002 год из федерального бюджета на строительство хирургического корпуса Йошкар-Олинской горбольницы, к концу года Москва выделила ещё 6 млн. рублей.",audio/rhvoice/numbers/03.wav
